gcid,weight_mg,gcid2,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
MeKO_09_25_1,0.055556,MeKO_09_25_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_1,col0,col-0,pred,nodata,MeKO_09_25_1    ,normal,normal,normal,noinfo,34.7
MeKO_09_26_1,0.055556,MeKO_09_26_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_2,col0,col-0,pred,nodata,MeKO_09_26_1    ,normal,normal,normal,noinfo,27.9
MeKO_09_27_1,0.055556,MeKO_09_27_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_4,col0,col-0,pred,nodata,MeKO_09_27_1    ,normal,normal,normal,noinfo,26.8
MeKO_09_28_1,0.055556,MeKO_09_28_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_5,col0,col-0,pred,nodata,MeKO_09_28_1    ,normal,normal,normal,noinfo,32
MeKO_09_29_1,0.055556,MeKO_09_29_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_6,col0,col-0,pred,nodata,MeKO_09_29_1    ,normal,normal,normal,noinfo,22.6
MeKO_09_30_1,0.055556,MeKO_09_30_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_7,col0,col-0,pred,nodata,MeKO_09_30_1    ,normal,normal,normal,noinfo,19
MeKO_09_31_1,0.055556,MeKO_09_31_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_8,col0,col-0,pred,nodata,MeKO_09_31_1    ,normal,normal,normal,noinfo,26.6
MeKO_09_32_1,0.055556,MeKO_09_32_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_1_9,col0,col-0,pred,nodata,MeKO_09_32_1    ,normal,normal,normal,noinfo,18.7
MeKO_09_33_1,0.055556,MeKO_09_33_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_1,col0,col-0,pred,nodata,MeKO_09_33_1    ,normal,normal,normal,noinfo,26.6
MeKO_09_34_1,0.055556,MeKO_09_34_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_2,col0,col-0,pred,nodata,MeKO_09_34_1    ,normal,normal,normal,noinfo,24.1
MeKO_09_35_1,0.055556,MeKO_09_35_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_3,col0,col-0,pred,nodata,MeKO_09_35_1    ,normal,normal,normal,noinfo,21.7
MeKO_09_36_1,0.055556,MeKO_09_36_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_4,col0,col-0,pred,nodata,MeKO_09_36_1    ,normal,normal,normal,noinfo,27.3
MeKO_09_37_1,0.055556,MeKO_09_37_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_7,col0,col-0,pred,nodata,MeKO_09_37_1    ,normal,normal,normal,noinfo,38.1
MeKO_09_38_1,0.055556,MeKO_09_38_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_8,col0,col-0,pred,nodata,MeKO_09_38_1    ,normal,normal,normal,noinfo,31.2
MeKO_09_39_1,0.055556,MeKO_09_39_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_9,col0,col-0,pred,nodata,MeKO_09_39_1    ,normal,normal,normal,noinfo,32.4
