gcid,weight_mg,gcid2,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
Cont13_1,0.055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cont14_1,0.055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cont16_1,0.055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cont17_1,0.055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cont18_1,0.055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MeKO_05_01_1,0.055556,MeKO_05_01_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_02,aat22,aat2-2,pred,nodata,MeKO_05_01_1    ,palegreen,normal,normal,AT5G19550,9.5
MeKO_05_02_1,0.055556,MeKO_05_02_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_04,aat22,aat2-2,model,MeKO_05_02_1    ,nodata,palegreen,normal,normal,AT5G19550,8.3
MeKO_05_04_1,0.055556,MeKO_05_04_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_06,aat22,aat2-2,pred,nodata,MeKO_05_04_1    ,palegreen,normal,normal,AT5G19550,9.8
MeKO_05_05_1,0.055556,MeKO_05_05_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_07,aat22,aat2-2,pred,nodata,MeKO_05_05_1    ,palegreen,normal,normal,AT5G19550,7.8
MeKO_05_06_1,0.055556,MeKO_05_06_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_08,aat22,aat2-2,pred,nodata,MeKO_05_06_1    ,palegreen,normal,normal,AT5G19550,10.8
MeKO_05_07_1,0.055556,MeKO_05_07_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_09,aat22,aat2-2,model,MeKO_05_07_1    ,nodata,palegreen,normal,normal,AT5G19550,13.7
MeKO_05_08_1,0.055556,MeKO_05_08_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,66_10,aat22,aat2-2,pred,nodata,MeKO_05_08_1    ,palegreen,normal,normal,AT5G19550,5.8
MeKO_05_09_1,0.055556,MeKO_05_09_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,80_01,phyB9,phyB-9,pred,nodata,MeKO_05_09_1    ,palegreen,longppetiole,normal,AT2G18790,22.4
MeKO_05_10_1,0.055556,MeKO_05_10_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,80_02,phyB9,phyB-9,model,MeKO_05_10_1    ,nodata,palegreen,longppetiole,normal,AT2G18790,20.8
MeKO_05_11_1,0.055556,MeKO_05_11_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,80_03,phyB9,phyB-9,pred,nodata,MeKO_05_11_1    ,palegreen,longppetiole,normal,AT2G18790,28.3
MeKO_05_12_1,0.055556,MeKO_05_12_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,80_05,phyB9,phyB-9,pred,nodata,MeKO_05_12_1    ,palegreen,longppetiole,normal,AT2G18790,21.6
MeKO_05_15_1,0.055556,MeKO_05_15_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,80_09,phyB9,phyB-9,pred,nodata,MeKO_05_15_1    ,palegreen,longppetiole,normal,AT2G18790,25.2
MeKO_05_17_1,0.055556,MeKO_05_17_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,81_01,mur11,mur1-1,pred,nodata,MeKO_05_17_1    ,normal,normal,normal,AT3G51160,36.5
MeKO_05_18_1,0.055556,MeKO_05_18_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,81_03,mur11,mur1-1,pred,nodata,MeKO_05_18_1    ,normal,normal,normal,AT3G51160,27.1
MeKO_05_20_1,0.055556,MeKO_05_20_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,81_05,mur11,mur1-1,pred,nodata,MeKO_05_20_1    ,normal,normal,normal,AT3G51160,36.9
