gcid,weight_mg,gcid2,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
Cont_25_1,0.055556,Cont_25_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_25_1       ,col0,col-0,pred,nodata,Cont_25_1       ,normal,normal,normal,noinfo,noinfo
Cont_26_1,0.055556,Cont_26_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_26_1       ,col0,col-0,pred,nodata,Cont_26_1       ,normal,normal,normal,noinfo,noinfo
Cont_27_1,0.055556,Cont_27_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_27_1       ,col0,col-0,pred,nodata,Cont_27_1       ,normal,normal,normal,noinfo,noinfo
Cont_28_1,0.055556,Cont_28_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_28_1       ,col0,col-0,pred,nodata,Cont_28_1       ,normal,normal,normal,noinfo,noinfo
Cont_29_1,0.055556,Cont_29_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_29_1       ,col0,col-0,pred,nodata,Cont_29_1       ,normal,normal,normal,noinfo,noinfo
Cont_30_1,0.055556,Cont_30_1       ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_30_1       ,col0,col-0,pred,nodata,Cont_30_1       ,normal,normal,normal,noinfo,noinfo
FD_17_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD_18_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD_19_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MeKO_08_01_1,0.055556,MeKO_08_01_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_03,mur71,mur7-1,pred,nodata,MeKO_08_01_1    ,normal,normal,normal,noinfo,25.3
MeKO_08_02_1,0.055556,MeKO_08_02_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_04,mur71,mur7-1,pred,nodata,MeKO_08_02_1    ,normal,normal,normal,noinfo,33.9
MeKO_08_03_1,0.055556,MeKO_08_03_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_05,mur71,mur7-1,pred,nodata,MeKO_08_03_1    ,normal,normal,normal,noinfo,27.5
MeKO_08_04_1,0.055556,MeKO_08_04_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_06,mur71,mur7-1,pred,nodata,MeKO_08_04_1    ,normal,normal,normal,noinfo,25.5
MeKO_08_05_1,0.055556,MeKO_08_05_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_07,mur71,mur7-1,pred,nodata,MeKO_08_05_1    ,normal,normal,normal,noinfo,28.2
MeKO_08_06_1,0.055556,MeKO_08_06_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_08,mur71,mur7-1,pred,nodata,MeKO_08_06_1    ,normal,normal,normal,noinfo,22.7
MeKO_08_07_1,0.055556,MeKO_08_07_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,151_09,mur71,mur7-1,pred,nodata,MeKO_08_07_1    ,normal,normal,normal,noinfo,26.5
