Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_02_01_1	MeKO_02_02_1	MeKO_02_03_1	MeKO_02_04_1	MeKO_02_05_1	MeKO_02_06_1	MeKO_02_07_1	MeKO_02_08_1	MeKO_02_09_1	MeKO_02_10_1	MeKO_02_11_1	MeKO_02_12_1	MeKO_02_13_1	MeKO_02_14_1	MeKO_02_15_1	MeKO_02_16_1	MeKO_02_17_1	MeKO_02_18_1	MeKO_02_19_1	MeKO_02_20_1	MeKO_02_21_1	MeKO_02_22_1	MeKO_02_23_1	MeKO_02_24_1	MeKO_02_25_1	MeKO_02_26_1	MeKO_02_27_1	MeKO_02_28_1	MeKO_02_29_1	MeKO_02_30_1	MeKO_02_31_1	MeKO_02_32_1	MeKO_02_33_1	MeKO_02_34_1	MeKO_02_35_1	MeKO_02_36_1	MeKO_02_37_1	MeKO_02_38_1	MeKO_02_39_1	MeKO_02_40_1	MeKO_02_41_1	MeKO_02_42_1	MeKO_02_43_1	MeKO_02_44_1	MeKO_02_45_1	MeKO_02_46_1	MeKO_02_47_1	MeKO_02_48_1	MeKO_03_01_1	MeKO_03_02_1	MeKO_03_03_1	MeKO_03_04_1	MeKO_03_05_1	MeKO_03_06_1	MeKO_03_07_1	MeKO_03_08_1	MeKO_03_09_1	MeKO_03_10_1	MeKO_03_11_1	MeKO_03_12_1	MeKO_03_13_1	MeKO_03_14_1	MeKO_03_15_1	MeKO_03_16_1	MeKO_03_17_1	MeKO_03_18_1	MeKO_03_19_1	MeKO_03_20_1	MeKO_03_21_1	MeKO_03_22_1	MeKO_03_23_1	MeKO_03_24_1	MeKO_03_25_1	MeKO_03_26_1	MeKO_03_27_1	MeKO_03_28_1	MeKO_03_29_1	MeKO_03_30_1	MeKO_03_31_1	MeKO_03_32_1	MeKO_03_33_1	MeKO_03_34_1	MeKO_03_35_1	MeKO_03_36_1	MeKO_03_37_1	MeKO_03_38_1	MeKO_03_39_1	MeKO_03_40_1	MeKO_03_41_1	MeKO_03_42_1	MeKO_03_43_1	MeKO_03_44_1	MeKO_03_45_1	MeKO_03_46_1	MeKO_03_47_1	MeKO_03_48_1	MeKO_04_01_1	MeKO_04_02_1	MeKO_04_03_1	MeKO_04_04_1	MeKO_04_05_1	MeKO_04_06_1	MeKO_04_07_1	MeKO_04_08_1	MeKO_04_09_1	MeKO_04_10_1	MeKO_04_11_1	MeKO_04_12_1	MeKO_04_13_1	MeKO_04_14_1	MeKO_04_15_1	MeKO_04_16_1	MeKO_04_17_1	MeKO_04_18_1	MeKO_04_19_1	MeKO_04_20_1	MeKO_04_21_1	MeKO_04_22_1	MeKO_04_23_1	MeKO_04_24_1	MeKO_04_25_1	MeKO_04_26_1	MeKO_04_27_1	MeKO_04_28_1	MeKO_04_29_1	MeKO_04_30_1	MeKO_04_31_1	MeKO_04_32_1	MeKO_04_33_1	MeKO_04_34_1	MeKO_04_35_1	MeKO_04_36_1	MeKO_04_37_1	MeKO_04_38_1	MeKO_04_39_1	MeKO_04_40_1	MeKO_04_41_1	MeKO_04_42_1	MeKO_04_43_1	MeKO_04_44_1	MeKO_04_45_1	MeKO_04_46_1	MeKO_04_47_1	MeKO_04_48_1
090911MeKO_02_03_04_ID058	090911MeKO_02_03_04_cmb_ID055	I		Glutaric acid (2TMS)	1393.1	376.5  Win029_C01	56	Glutaric acid (2TMS)	TRUE	55494-07-0|3343-88-2|7364-81-0|111-16-0|110-94-1	glutaric acid		757155332.221021	626944717.63956	451906516.38573	508278229.601995	953402129.728717	584759223.892283	748452223.598999	340025490.856259	684125258.540591	887684503.447379	606075419.440289	774870662.463402	740132091.027233	1069656955.89116	924234163.057211	593203065.05753	287061770.696772	248858826.949443	375635439.20518	344171095.957384	526084677.446481	175700677.792357	217283678.622507	207807343.899736	793740375.696548	609494869.562786	686082435.295982	822113183.957603	473242390.498439	855818753.258235	523096538.530515	437530838.450593	678210957.812674	1223966092.8956	497896510.721215	649455970.940034	601238933.260329	695677632.634699	1121859771.14529	661088335.526488	729867475.088215	587655332.767607	600171187.491486	667425925.318247	415604059.990697	723799429.042781	627279397.610959	444191526.918465	498931176.261636	377093329.394201	482640005.94865	428328625.267536	299770387.523636	586777712.915326	272024917.391665	368686154.498823	702623404.443563	973084746.593271	357586066.002069	360518713.911193	391706515.822395	355118263.593807	266099193.63973	377415319.341761	468692715.835909	210504006.722651	488247411.884004	472869748.292644	285814231.75877	390515145.112012	316161986.378986	329622356.015118	570775226.17561	655432387.732875	631986186.708513	845882690.375615	775527177.204132	755848149.069332	616403585.703867	474393518.544725	815158330.784616	860620168.644144	702039687.39953	645942656.743024	1012825179.50623	718659231.62729	611361888.539758	808645666.101576	844266770.78846	673215553.304008	941082996.440891	619015086.88763	657151166.220212	752037311.17486	918848122.633339	974943672.540458	690221265.217862	706613554.830982	748198373.334883	540993110.887602	412504531.735564	646975950.70211	648110100.783398	584311013.203501	454743885.270203	431192493.496861	312024506.765114	368652556.669322	300352716.089759	366558268.545067	288953845.789345	325464934.205849	527702472.236889	729747964.033533	634830910.847382	766549721.235967	670190768.107532	565157480.678726	625651657.498508	429068579.412654	1008913286.0376	827804604.74206	1191694550.16537	498754675.31299	786608292.533175	296419918.35954	589361192.936726	924465656.51727	550324053.946173	542897288.921295	493061468.626226	711437622.489399	845873227.084334	672539398.505912	804246335.538755	848447316.832455	888343650.09473	695520364.725128	580800893.883295	693021630.171275	735820895.732135	536128419.553724	617947385.017613	640489207.820484
090911MeKO_02_03_04_ID059	090911MeKO_02_03_04_cmb_ID056	U			1409.2	380.88  Win030_C01	57		FALSE	0	0		475006181.837995	432765932.740795	360100177.236331	714634815.076579	547011424.625087	467922873.754245	452603925.251255	971122.58692655	2447105619.12778	400784198.368604	1197500601.13857	728073389.97943	673201525.356834	803999664.401684	627584714.385881	1009016872.83403	265028355.67121	288693993.756527	199641047.068775	233803842.269591	70331225.6390686	131902780.259007	240312538.352694	73927601.3542939	86592840.1295525	70469120.3777813	89307931.0505862	417715168.168149	90486101.9580781	49626230.8062759	70454612.5382545	50321045.2368674	193608658.252619	617135251.163328	305541230.022725	353434526.086113	275459199.716488	324063546.865998	160694433.113102	127671455.060966	162075562.69442	51410138.2625319	105327375.527526	45276834.3506458	146836333.181661	69020150.3370825	92357535.4777737	43931454.0171336	963772602.44907	768853998.701221	1365434095.81999	600836848.032562	915396579.660393	476637676.908506	1279730947.6828	535793066.149291	1116426511.9413	423696221.882323	1248474189.36517	639780019.601543	2084770465.42107	730724479.631101	1064652225.46232	933484411.83211	262539641.107398	1018294534.59633	451283114.654231	268740909.191292	193290351.946535	499833458.411141	156928199.585038	236762454.534793	444593069.239002	357708451.674106	225849243.806619	275999101.756927	426448368.045116	327432743.24774	95504154.2980826	68265812.3433564	163296649.362105	266197930.159185	265880191.714003	218190413.120861	500433585.699653	386360361.315804	357413839.831762	259710145.004488	613187143.154198	613889434.125526	618075514.059294	892541232.410461	840132416.801933	661124562.035756	553785770.243045	329020141.724334	1160292589.35148	1246094404.64923	1251562140.09787	1290632759.43191	1056581076.85814	1011517031.63176	621784456.399464	880003728.007695	888034548.076459	827551874.170869	1604292124.31668	692469188.008554	485229120.187774	603789170.25183	1318935157.46241	477568821.124237	1182502825.10964	587211171.473129	1115026806.88236	446712530.597794	821513671.804857	472331650.430271	395271861.629309	667272569.909691	377978041.907712	257196287.640298	440711547.43392	298134850.869011	211889448.935722	205116206.429981	385069568.917794	187684990.032359	114946716.4293	83137293.1026549	73701812.7427958	125179729.954347	177593637.721437	173923584.744728	229918366.628185	172842455.046471	305199880.429134	304665994.641829	239885450.652543	140116037.263569	288865436.822567	244151155.676084	83533044.1574501	141443021.585484
090911MeKO_02_03_04_ID060	090911MeKO_02_03_04_cmb_ID057	I		Alanine, beta- (3TMS)	1420.9	383.97  Win031_C01	58	Alanine, beta- (3TMS)	TRUE	5269-40-9|17891-86-0|16690-93-0|107-95-9|55255-77-1	beta-alanine		1456844118.70659	967535056.955463	901636630.378622	784875135.82143	1508372040.86584	1076199369.35077	1494440449.41091	1627643227.71265	748870802.205813	1136007870.97172	536352894.856889	1808579972.57011	652774548.881806	1603076732.3965	1410964392.5003	2286660783.14341	2924555570.99845	2848682051.43975	4725415787.45015	3265981574.56008	4724241151.82953	3762439758.15983	2007011540.89399	3227749686.35158	2295751810.03342	2355645752.74337	1535722036.36309	664349667.484223	2022409366.1933	983320776.366282	1306557130.27861	1476138850.01332	2311072204.64026	1796848989.14634	2347870136.30911	1785686431.3243	1150500614.69048	1920941403.67571	2246366903.39057	1692872000.83011	1554423088.72807	1527979117.65127	1474644212.90972	1669923308.45624	1102130899.9261	1286374127.06049	1004890635.39469	1230214776.63343	1750055378.42043	1630722286.14778	1295536000.62493	1359161852.78183	2730421115.701	3106893145.58297	1315846652.9829	2139093117.62245	1316173599.73499	1443085541.89592	1168363374.48659	1097843394.22505	1230335985.62262	1607536026.43115	1356081193.49487	1333392689.0636	3064196470.87594	1248618295.52888	2478273626.30281	2630251024.00529	1631553223.51828	3086234534.40903	1541252950.91133	2195094451.05651	1184884742.36573	2340883514.68383	1466710540.17463	2285688332.38469	2313098008.80614	1489686397.99687	1981955076.16215	1334399216.86699	1709737674.22663	2064603640.30777	1214511266.42403	1122225654.05244	2198382569.25153	2499436242.85794	1334186797.6559	1911564342.29303	2637188535.10221	1805277150.21328	2803486360.26293	1760399210.44343	2598510249.23041	3544469633.29535	3471783010.51714	3638359064.50551	380063898.698833	215578856.893501	205828300.758403	352895429.235363	414619396.900971	659741359.990954	756472868.662794	656732613.454278	503700034.717296	393336693.905475	514337510.150538	711572976.524899	624335356.110902	450545702.105254	501812376.790636	443094346.202957	637295837.232681	1221556274.6007	1217152704.33824	1339862287.43857	1095355924.41983	1708510066.80702	1420249183.19254	631323254.918767	1511435180.01676	1792858374.72626	2350640294.53018	702321099.444834	2571676487.06984	812594139.820089	884649724.082306	2650201761.02765	337008704.904242	549760767.721219	999854823.28868	655790000.772404	1046136691.59481	887347004.000025	473928573.956841	1199665644.43544	616844676.30619	749207265.646417	660695589.904524	723825613.087604	538053649.26242	952175030.308233	1082696774.17519	2099182332.57034
090911MeKO_02_03_04_ID062	090911MeKO_02_03_04_cmb_ID059	I		Homoserine, DL- (3TMS)	0	387.96  Win032_C02	60 X_263	Homoserine, DL- (3TMS)	TRUE	1927-25-9|498-19-1|56273-04-2|672-15-1	l-homoserine	 COR_OK:HDA	11681076.6261709	12765650.4620961	9825653.61104424	5666062.21459784	9764915.47989233	10846386.3631454	8931908.45685691	3969215.25439765	6005604.05707318	5941110.13751354	4763823.20306657	7025124.04943569	6979818.84299685	12191105.6252976	19992473.0753696	10171273.1449615	6917494.72535246	5160887.59880568	6829144.78540573	6323294.09627036	11757912.375008	6416965.90223348	4355273.84419972	6956223.42026883	51276039.9242885	39652027.5263104	26324932.9251488	17507673.0485066	25932115.4754216	59318974.6848685	53867588.4343345	53254896.0589675	9480313.57231338	14540399.0362547	10050628.2516267	6482999.84826583	9326840.22758006	9846093.03401116	10024839.5898165	11113828.8985592	7271192.57042379	5893795.22069411	2855824.78617391	5973906.28030757	8152918.85643701	5533257.22508971	3887645.95386143	4691854.94385736	7048890.77752118	5925065.03630338	4419414.44635948	6204179.42580966	3301499.20571622	4982556.55252616	3904477.06833385	5320795.94205888	4937103.73156136	5028443.79233712	3771252.76985844	2229907.20435539	2711964.59091025	3656045.37644012	4692360.49178238	3249328.65758239	6158959.65014823	14358994.6948784	3409085.2518485	2888421.35843816	3842663.72480433	18313378.1784433	4116431.70944375	5100657.09907278	2855479.40680783	4028670.03242149	4453975.84081452	4261272.99030532	3745186.20989921	1671659.28879943	1829290.6463039	1028952.23301496	5090346.67731688	9053236.62803532	3596894.86994677	6400688.54905095	2717755.45164244	2862607.1771901	3281785.71515526	3237652.72177649	4534756.28247481	4123982.30318088	2526638.24554141	7083860.47419047	5695083.98237699	5503170.34243561	6424357.26822032	4747330.73812674	35544966.4935252	42005515.8656347	19417074.3743636	22302424.3053819	26274732.2016134	22873604.4551138	34994275.396093	31611191.9158817	37171934.5776944	24174601.1559066	18461187.1564583	25513611.9858669	23592934.5553992	19402628.7156651	15015326.5251449	14551698.4648887	28530640.3836093	27889610.7051208	36835516.5461611	26694212.8455707	20220228.0368183	21005384.6439033	25668454.876053	27724429.7930378	32519833.5687808	33201614.890901	25790831.050986	19291104.1170256	24531202.5649046	15611932.9124831	13181177.0980089	33821414.1384829	12292417.0370677	16122366.4430959	25205666.8836297	32123764.5851569	20515621.7865557	16557450.8419067	14781271.2200245	25275754.8585297	12367077.6613867	14463467.3895035	14143896.7058339	20684560.1736405	18236097.7718492	16676656.5182648	19529197.2323436	22024053.133459
090911MeKO_02_03_04_ID063	090911MeKO_02_03_04_cmb_ID060	U			1442.1	389.55  Win033_C01	61		FALSE	0	0		1940874.40841821	4680967.91100597	0	0	3315942.41010205	5090887.81860548	7279.34940904089	25651364.8810767	2389.52187495685	125.226907717171	1130.86884930234	213.726443002793	95.9221354036972	37.9658684975011	1336.73519752022	24.1694552144412	93.2238393835156	36.2913459709816	763533.556486091	428.923732187318	1553.69466755599	42.142336691452	262.99624540229	0	1612.38011778504	0	26214504.6051702	2135.59214602178	829.811975896911	11754.7021255193	894114.067580941	32.2288575364216	8320180.24261925	1733.28420346696	11.6717627931825	751200.785443708	997246.164459778	2369373.48452126	2568541.97241603	39310578.907976	3739026.87488021	10156414.9305387	2206181.62715151	16168595.3416398	1888492.47503584	1409236.99696423	3506583.24127245	24563707.8169507	194.751707355702	5054.38100080477	741.768945095105	10.1282037124266	337.385667556642	802.400637810861	2392322.8532014	2129276.70683926	46.4426268541426	39.3088316409194	18.9125850470304	28980.4092809621	9991.03465235971	9.72961539580656	7.40485379491323	873.284414133421	1421058.14455596	836078.263222976	845.256832366499	528.721937462204	5797.09377368716	25593499.3263748	7272.13313325058	2777854.36900239	311.391348506876	204315.714100904	41373.2729623708	108.070592805705	39072.0963874932	21988.4460862884	8084989.03147001	75.558267843237	40165371.8692424	33197652.8334135	8822737.29300922	102734.909115293	10502.0163445255	12199858.7608439	25600924.0228287	20248628.330325	13694.2141878256	10872937.2247136	68.4242155048558	1392653.20415209	1836257.21892953	148.878551725385	25.2802190897218	32313.4652910863	51125791.9164763	1973.49683904132	5398056.14524172	5398040.40870469	187.318370820909	5164.49882582766	714170.865225092	663489.468974161	21.555739207301	0	5478.53192772532	1190.75694351377	143.686435836025	25.6815158535564	26958.9565096048	414.965819013965	4510690.81148178	4386353.13699632	7922.54132872892	565421.623710359	21287075.6611927	16100073.7862702	45362221.3051666	3455298.27048666	6776699.00302308	1733.70700586953	3347224.58137377	990.406946469701	410831.146566124	8436.06737374023	16326561.0264425	57591.4270008741	49196411.6533183	42277965.3233107	724072.226416526	34827267.705185	128693.158535794	24450032.7713001	35824861.9503922	5062842.3945786	104963867.761775	68240269.8500389	27924458.0614493	26417252.051285	153220192.565741	69789119.5297158	883364.228265333	651777.782319377
090911MeKO_02_03_04_ID064	090911MeKO_02_03_04_cmb_ID061	U			1445.9	390.64  Win033_C02	62		FALSE	0	0		11097131.8317565	11189287.8625436	12644230.7262092	14462255.8782434	9996103.55496299	11792929.2218127	13828417.2666782	13264995.7887077	14515828.7182372	14405762.6365844	15639838.5813812	11416929.4787616	12637436.2418021	12937868.8109011	12649885.6329403	10604942.8216405	12271377.8236594	9664295.7497375	12444785.3450855	10966276.2885347	6188637.06694307	7669813.97958692	11612506.3040601	8035880.87343092	13211412.5522729	11982270.9994446	14807504.3301358	19370320.0087598	11990532.118359	13859534.4734648	10484926.8775059	12876940.1094412	14895754.2369154	14368586.9453979	12256179.5237531	14621866.2040246	15731207.6056419	12981858.4621017	13985170.5888163	14598054.9292134	15240564.379703	13384364.1857879	11040523.0088509	14894389.3538495	12891592.5690474	14140032.2107411	17436940.0778946	12471090.2841948	12843192.1388017	11375621.8281436	14764004.1117279	10724898.3451848	16668433.9945729	13813115.0975344	14461170.4703842	10275238.1293951	11052550.798436	10327514.4453421	14141243.5396297	11007845.6303514	12479316.9222895	11875395.3831379	10999608.4912816	12698975.4006706	10623449.1015606	10649337.9172314	14354801.8536814	10012047.2639533	11304974.9049605	19442653.0319041	12384961.3391515	10430679.8316438	15709538.8159141	11975700.1465007	9683655.43336189	12417505.9296308	13848598.9142536	12294375.7392482	13764439.846887	10187924.1040001	16705193.991776	15843922.6838352	14549891.116212	11403276.4592595	13098121.8769127	12746495.1962042	13489728.3620191	14592583.9772218	11393949.2895219	15915266.5558531	14539173.4278127	13443176.5273985	13372481.3217084	12736924.5528729	13040889.0199783	9695051.34614016	15233692.7558855	13125885.582984	13724579.3233772	11526402.5289403	13284596.1301937	12372044.7552651	10586047.641011	11742331.2240551	10824861.9220479	10939064.125534	11195927.9758264	11609038.1008543	10640847.3194182	10725742.7635115	12343012.7135328	9414763.41087801	12606685.3523484	14491825.5503344	12375736.5796126	17762270.0032143	15536643.9283603	14416248.4216524	13602531.0187231	13374413.1763677	15635591.1011302	12286203.9344824	13233216.8067011	13766956.8489618	15468886.5245296	12070081.2191042	16685660.4258621	13375914.8004767	12929954.1948104	11523740.7425052	11912413.0956179	13356101.9513777	11497677.8351156	9687383.73195261	15663877.5930791	17508863.9120586	15341516.2445693	13544403.9046894	16682799.9601166	14726897.522654	16634058.7706641	12124744.7485848	11805161.6494759	12810125.1753542
090911MeKO_02_03_04_ID065	090911MeKO_02_03_04_cmb_ID062	A2		Piperidin-2-one, 3-amino- (2TMS)	1451.5	392.11  Win034_C01	63	Piperidin-2-one, 3-amino- (2TMS)	TRUE	34294-79-6|32565-12-1	1109:34294-79-6		24130855906.1046	26533409979.8235	14868231166.361	16542103291.7853	27892828352.2842	14421019672.6967	17225873592.9655	32018892417.3866	3238386753.42452	6949526066.57029	2035776328.50463	9668613652.94142	10746530560.922	3907611981.61904	11806295897.4782	7216321514.83621	22881253326.167	23106637601.3256	29813958473.2602	19486833503.9168	47315240205.4135	27177956653.872	19991125225.0195	42916813058.7767	66199372841.7988	14455376517.995	23286509700.8344	1382997212.47839	12437473550.5682	17826058877.2424	58326211614.6379	69698037190.6629	4086351096.77127	8552713042.69207	3305832835.78364	6283539188.99959	3318661783.15645	4271518947.33469	25787793123.99	9854195536.59126	4642763131.11124	6396393317.52148	5792234030.73077	5648654865.15068	16036431136.3164	7765208134.57845	10198186269.1384	10408399748.7114	4290920025.29984	2664772043.38466	5158310306.3802	4972994006.85605	1802576294.08194	4393227398.17825	8739398986.08383	8580455142.60591	4075653375.92913	3655935923.1861	3541124622.05337	2397776939.40381	2598904017.06135	2030652445.65425	2622753523.63668	5858364065.02335	19180786759.9458	56677835624.7794	18606578968.448	18301610525.7708	11297542155.5268	19845147274.9526	11357871724.8304	11954539277.6029	8868399406.07052	24248391565.7271	21070182070.2464	26681730358.4069	15878968297.6702	20077983414.5619	14137301481.6692	27589870901.9829	4519653750.24221	4675157898.22662	9036004761.01652	7253528086.10899	3924635326.01493	2276332428.12542	4959995321.45445	4143326851.12401	3295053561.22504	2703624482.02672	4230869826.62892	9426723088.89716	4987530623.58115	3104995233.55999	7818495114.05987	20208053713.066	417752859.839198	1823070934.63828	506181819.297866	305950785.697769	477098482.514128	1619305145.15092	5462477586.61539	7149063755.26723	1865757748.3107	4815673826.88086	1319206172.40707	5826510590.36006	2811710115.16766	2915346309.51993	1002320703.07553	5261419877.45701	1591639883.45066	2389221600.57085	6682412547.83752	3907378916.20995	1469799127.86339	2366497831.09694	4941592291.11144	4242660069.52333	3927489945.03956	7675478631.1361	4629262502.88026	5833786995.61503	14295872068.4876	5962995956.32743	2355533917.19795	17011701036.4499	3988072716.23428	5234814912.87908	6762494929.80359	8322819110.23938	5154209845.2518	4303964228.51834	5855021487.86064	7447788072.77139	2925768424.87022	3644808986.20286	2869570489.08031	5021032238.39342	3156600854.78247	4023181295.159	5939434047.33411	12194692200.234
090911MeKO_02_03_04_ID066	090911MeKO_02_03_04_cmb_ID063	M1		M000000_A148006-101_MST_1480.5_EITTMS_	1459.8	394.33  Win035_C01	64		TRUE	0	0		1167205092.92615	1028172866.58358	650785315.409039	774616884.15788	1145064985.35393	732902599.957958	1459811866.08207	417404639.395323	1557752757.68669	569894731.833773	867259842.861665	1302724893.71091	1071247247.99327	2050782259.67759	1014143245.62742	1176142968.69397	700099100.551957	888611663.152282	1252891434.68092	827735562.846705	552581945.937263	668888167.457241	602517229.781582	479167499.704084	443074297.959611	490957798.460855	457455113.914117	394846163.504737	505217832.086925	326508913.043416	276289537.086702	78635173.9146001	539522580.972659	374631120.087109	709266534.569184	457938488.816142	358148312.335166	536724785.875181	305229308.225009	432506589.730165	208384346.585824	150249469.057224	163722309.858489	127845735.815993	258404805.292264	200911464.088041	163704387.6903	119572831.638696	1103162345.96566	1538092084.72136	1128128890.59095	981452885.69471	1546547449.97108	1473359281.22542	1026960579.33625	1223094967.84529	1606415512.60227	1268585671.04157	1631850423.41375	1291476038.36476	1373573444.0597	1393283567.35982	1328198567.34788	1178965392.53718	995611230.594812	1114467548.30313	894026796.749728	929538459.490846	430098785.146855	1073423413.13268	376958943.254266	501224499.628332	497110130.917402	691726025.510705	407356632.479093	654863661.568836	721865162.367508	428552841.793894	418239775.240279	240527142.643778	302121731.644665	425395569.707663	339833243.541803	335577306.160099	513316689.766718	583813875.24383	408701315.878745	371905007.292801	1350850459.90535	975904090.511656	1454048390.78814	1171455996.96224	1702696759.90338	1544326869.63205	1226478023.01264	966518932.361878	2698113728.77176	1364472977.75397	1322554137.67145	834943473.075773	1377239306.89378	1431369272.9042	657586853.066733	1010020850.75117	1980354102.69776	1288319293.07976	1386394182.56253	1052686017.32643	707377175.716144	1447080061.91603	896701376.470773	513233958.864334	1340349241.53685	1191239698.71464	1109602843.32362	764732349.284672	993536542.633779	888876994.755671	688847784.941234	818128539.898101	1283013325.51794	917099031.317237	2031607734.73686	497082834.722561	729868232.517406	464428128.461956	542148668.357606	984737377.419475	181594477.660644	220156983.972789	292585375.47023	316331306.443308	358213795.120934	362424376.348266	178796141.39451	558955474.111526	293795021.165258	384543875.532006	365538738.61392	300456483.52367	345079207.188256	415970368.133228	360617921.235487	496927684.921269
090911MeKO_02_03_04_ID067	090911MeKO_02_03_04_cmb_ID064	M1		M000000_A148002-101_MST_1481.6_EITTMS_	1465.5	395.82  Win035_C02	65		TRUE	0	0		60148717.7422158	63093163.0530351	21788701.9435938	20153445.6180352	31123006.2660719	28987972.2096621	18648462.1304874	7991002.27218127	17203303.7275946	15549836.8540245	15675270.6638479	28913177.1145089	22100692.1526944	23485188.4963274	37340375.6402161	30156352.401099	136743003.350795	109773790.194389	32301523.9915754	58675029.6812997	155978860.318409	107286248.518472	91556159.4084053	58372667.6283372	105775969.250205	75287396.5125522	42982256.8511273	24771273.7863973	60393094.7935602	75646337.8609732	88373976.9505091	142665009.049752	15663427.9666246	26052080.456916	16927641.8098326	23060264.8923933	13492319.4663044	15813221.7040838	39825484.5448503	16352110.4532582	17384797.9481804	17078033.1762408	9238908.99976143	13858673.3736084	73074877.9638906	18363955.7984398	18611259.4738251	15465167.3597661	33857569.0798152	23454309.9299985	29308001.8126562	22649194.8576743	26080835.9919288	18242130.1182529	161817405.368725	12545751.9819591	15677711.3481233	14079137.8372593	43218177.4847505	11903486.2720391	35304813.5861225	14610281.4214295	14671583.9833522	38190039.2757495	40662983.2548714	329339820.879523	52644004.3914567	39775130.8643771	18355081.5246884	82548030.5843856	18983393.3989842	19418328.3556575	21229156.4554102	27966600.866239	22829766.1168745	21245557.4651678	50625074.7832138	37112661.5778777	19109907.4983849	22210072.305998	21381687.7489934	22631990.5947867	39490811.0439599	14337218.8504064	29693410.3934692	19230068.0391974	18388156.0649632	16042024.6117055	20532110.9365737	20219958.5128889	31297668.3306214	70198016.2893197	72083490.5097341	15744351.5426965	23722272.034352	23988229.6365436	29430830.7005221	23373851.1155005	20467264.5942086	29244660.8153922	27790735.4056774	53349401.2709181	37768252.481293	160607236.759421	30269465.9953122	33029986.928091	23633797.3849255	22714262.5534226	37957951.2051272	27388138.482243	22580019.4917894	20790923.0465951	117676687.79226	19875092.3316848	43595650.4407351	20468447.3485529	22257650.4852576	21705947.5765451	38462720.8021846	104447352.727358	23648245.6089083	26816467.7828655	19595334.70423	28101435.7676948	41372524.9684598	37619254.822456	16781473.6868249	14221941.7835483	15665291.6326905	24284710.5158732	11140248.9842798	43888284.2553171	17559176.4477912	22392471.2126813	28384955.2502892	26140837.8049102	18636657.9318154	23330128.6403222	13986741.9614183	12605710.7657046	21055208.7707442	16006377.7526514	5651264.53904347	16201689.989756
090911MeKO_02_03_04_ID068	090911MeKO_02_03_04_cmb_ID065	I		Malic acid, DL- (3TMS)	1471.2	397.32  Win036_C01	66	Malic acid, DL- (3TMS)	TRUE	636-61-3|617-48-1|38166-11-9|97-67-6|6915-15-7	l-malic acid		13091798231.4908	12757290367.9033	14982089577.333	12830041846.965	11311958079.1796	9444480674.0852	16319336207.4946	10966486198.2911	64332112795.3999	37842104322.953	51137622755.8692	55870464748.984	42570205451.7627	55453278969.6979	39537785086.1657	54445910612.3067	11267081877.9346	8971904714.78198	9469723268.05386	7767541329.33251	76716165626.4513	10898801410.1329	9122808923.20872	8201834194.3454	488702536176.742	638616739255.524	369531035705.117	371216493057.857	438975547683.75	519047503252.059	520717381781.128	213920473415.295	24983349623.5829	21688240959.5916	49844748579.2155	32159094006.0054	13399855203.9372	22513210019.6011	13397824045.9186	17332504901.8951	28043107200.403	26163382951.5383	21977010806.5951	20434454668.0042	67995077105.6664	16418803322.3475	36161162471.1043	15358928516.9712	25204893918.1225	32551059499.9857	33570115330.6518	20871484818.3631	29844936449.3216	19041116406.9506	21371653448.0745	13069878170.4352	30147583371.4233	41698103193.2677	18093982937.3665	19810154914.0953	36503719489.7744	32861162674.1344	20313492417.8903	18782857247.9896	15075203001.8843	23372485756.5666	18809475951.8995	11238013203.5999	9763642211.24013	14579193507.3336	9983901949.04092	8229569123.60892	18303759919.2928	22059522353.6308	16327748746.3456	22124262466.9479	23478461178.1352	13545433097.4418	15229811560.2763	7541001226.1265	28389986936.598	23336348664.6402	16574830686.668	13846276316.168	31147199060.5324	28871619395.5849	19893591227.8259	28189633097.7705	31900692564.1854	22588342924.0521	37429228615.7253	33778318787.1299	27131180920.4685	22836547731.6605	22707165398.9225	13277439321.6834	31957276596.1844	25526961116.1935	21983692746.3425	11478117736.263	22936988260.1521	22802422737.0759	20329224522.484	26663182737.9882	28832197177.6346	20849863527.6887	29724897193.1586	17203806154.6626	19809390973.2131	21858127768.0884	29456366989.6502	15077822895.4065	22898072908.8455	19741115382.6399	23875947430.1501	16995322512.9532	20905829669.0958	18726750233.7937	20140614892.5887	45451287221.0826	32815883130.5428	30628622529.2476	39474716016.7634	16468020001.1039	29717642870.4237	30841017540.8295	22575883949.6019	29900724663.5002	16121715877.5199	14425656506.101	12444634754.2172	16811234325.5056	18732653884.0262	15450275864.4942	13964421336.5072	25178472328.3095	19061922328.5101	19176433537.0088	19192470588.9821	14102853263.6003	17137068584.0964	18469963161.8769	14674059365.2062	18114492374.2439
